month,LogReg_v92,ElasticNet_v92,MLP_v92,Ensemble_v92
2007-08-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
2007-09-01,2.244228871714078,4.595119850134589,4.595119850134589,3.811489523994419
2007-10-01,2.023370785521971,3.7513613785653,2.8334877832879535,2.869406649125075
2007-11-01,1.1139264265661781,2.761774797951273,3.4939706398191257,2.4565572881121924
2007-12-01,0.7782613009042941,1.0186013935000306,0.6568917846553026,0.8179181596865425
2008-01-01,0.8478059538076402,3.682769249173838,3.4260741775940384,2.652216460191839
2008-02-01,0.14419803108471013,0.6492188647874436,0.20057802572052313,0.3313316405308923
2008-03-01,1.1439919148816569,2.585792685901059,2.8275075976907855,2.1857640661578337
2008-04-01,3.4277705661125255,4.595119850134589,4.595119850134589,4.206003422127234
2008-05-01,0.3373203225875375,0.14099817478915752,-2.247157760457307,-0.5896130876935373
2008-06-01,-3.768655646913387,-4.59511985013459,-4.59511985013459,-4.319631782394189
2008-07-01,1.0949545408311228,2.8159564626720766,3.43301698997972,2.4479759978276396
2008-08-01,0.3735296418644353,0.3818520222795357,-0.7710150893550238,-0.0052111417370176065
2008-09-01,-2.458238619230503,-4.191165621612023,-4.4864125218581705,-3.711938920900232
2008-10-01,-0.5220505501801749,1.4210855935851094,1.6782898847766434,0.8591083093938593
2008-11-01,-0.7047037317325154,0.364918660501025,-3.8050849290506057,-1.3816233334273653
2008-12-01,0.5532154214367281,-0.5681658512354546,3.2343348240617704,1.0731281314210146
2009-01-01,-0.38854128576200087,-0.30225927087641064,-4.149724504822603,-1.613508353820338
2009-02-01,-4.59511985013459,-4.59511985013459,-4.59511985013459,-4.59511985013459
2009-03-01,3.817259178712871,4.595119850134589,4.02968382492831,4.147354284591923
2009-04-01,3.0764856487484664,4.426822125749025,4.595119850134589,4.032809208210693
2009-05-01,2.9016985756618285,4.124840314250011,4.421401491763253,3.8159801272250307
2009-06-01,0.4367392073888209,-0.9407155276756399,-2.762463007152313,-1.0888131091463773
2009-07-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
2009-08-01,2.676378326238684,4.595119850134589,4.595119850134589,3.955539342169287
2009-09-01,-0.5198919858001452,-2.499267025045853,-1.3979143449218463,-1.472357785255948
2009-10-01,-4.247401540393247,-4.59511985013459,-4.59511985013459,-4.479213746887475
2009-11-01,1.0178168538891843,0.5748972153707862,3.02575550933806,1.539489859532677
2009-12-01,1.0874326938969374,2.3198618867169523,3.888269298079601,2.4318546262311638
2010-01-01,-3.3469819011950235,-4.59511985013459,-4.59511985013459,-4.1790738671547345
2010-02-01,2.2355531776585504,4.595119850134589,4.595119850134589,3.8085976259759096
2010-03-01,2.1776121480548927,4.2592040624923495,4.595119850134589,3.677312020227277
2010-04-01,0.04489704829751374,0.006237380704385914,-1.4179062717949105,-0.45559061426433695
2010-05-01,-2.393575267081773,-4.468440789270125,-4.0913253099059945,-3.6511137887526304
2010-06-01,-4.59511985013459,-4.59511985013459,-4.59511985013459,-4.59511985013459
2010-07-01,3.7023291914743464,4.595119850134589,4.595119850134589,4.297522963914508
2010-08-01,-0.5619054623678669,-3.510212343756706,-2.292339046914193,-2.1214856176795887
2010-09-01,2.662382645752995,4.595119850134589,4.595119850134589,3.9508741153407243
2010-10-01,1.6682085909174311,1.7216647612309617,4.595119850134589,2.6616644007609938
2010-11-01,-0.07359415243601432,-1.3942089170925085,-2.0946881436769758,-1.1874970710684996
2010-12-01,2.0791993165739964,3.5199781082189783,4.595119850134589,3.3980990916425213
2011-01-01,1.0324713189520296,0.8660121587734249,2.6443659948999234,1.5142831575417925
2011-02-01,0.8145294147823268,0.29076099449078546,0.048346636052714206,0.3845456817752755
2011-03-01,0.8637852631955547,3.81864009429907,2.417970768297965,2.3667987085975297
2011-04-01,2.193806516948954,4.595119850134589,4.234692974010238,3.6745397803645936
2011-05-01,0.4294952472556876,0.8015193028705573,-0.6954650582312877,0.17851649729831906
2011-06-01,1.3612799928339046,4.595119850134589,3.717064303673157,3.2244880488805503
2011-07-01,-1.1466926366724348,-3.1462640192595996,-3.1187985073218303,-2.470585054417955
2011-08-01,1.1586851044228754,4.336704029745395,2.64907282632588,2.7148206534980504
2011-09-01,-4.59511985013459,-4.59511985013459,-4.59511985013459,-4.59511985013459
2011-10-01,2.1270845753897896,4.595119850134589,4.595119850134589,3.7724414252196556
2011-11-01,-0.5699704489325337,-2.290752942557991,-3.3997375294268344,-2.0868203069724527
2011-12-01,1.9908592595702712,4.595119850134589,4.595119850134589,3.7270329866131497
2012-01-01,2.000998604920219,1.8176821147585525,4.595119850134589,2.804600189937787
2012-02-01,1.7795296189728609,2.31151997033716,3.801571354319649,2.6308736478765566
2012-03-01,1.250416978320152,1.33087147157098,1.3898398399377065,1.3237094299429462
2012-04-01,0.852481373434618,1.7421804420711358,2.908509511564451,1.834390442356735
2012-05-01,-1.5724107773297291,-3.255294206571028,-3.7037666191847585,-2.8438238676951717
2012-06-01,1.5580787472575703,2.2477213739184574,2.811515597595691,2.20577190625724
2012-07-01,0.8002288015536597,1.6841503243592464,2.1995902051919716,1.5613231103682927
2012-08-01,0.3151087015387245,-0.9032555117039366,-2.256381956206218,-0.9481762554571432
2012-09-01,-0.9288524671777005,-3.379576033426674,-2.4654187768419553,-2.2579490924821104
2012-10-01,-0.654660797262116,-4.010017838928007,-3.5340714407423173,-2.732916692310813
2012-11-01,2.965475450179713,4.595119850134589,4.595119850134589,4.051905050149631
2012-12-01,0.7410675693680451,0.3214328941220329,2.010148819193674,1.0242164275612506
2013-01-01,2.8828914009548816,4.595119850134589,4.595119850134589,4.024377033741353
2013-02-01,0.22600620930380422,0.0784626712895099,-1.7259629716559741,-0.47383136368755335
2013-03-01,1.2969014001868562,2.5896710721538403,3.5032869189040965,2.4632864637482643
2013-04-01,1.0253669602994167,2.4494876534698102,2.6831581582027733,2.0526709239906666
2013-05-01,-0.8005779978725581,-2.708433629335885,-2.9645526253752843,-2.1578547508612425
2013-06-01,-0.882632583317532,-2.082955679408358,-3.028007027074665,-1.997865096600185
2013-07-01,1.7161485700475396,2.911044994560501,4.595119850134589,3.0741044715808763
2013-08-01,-0.7315644592740639,-2.095367583890821,-2.8249840379774684,-1.8839720270474511
2013-09-01,-0.35465520896678543,-1.2018680634053074,-2.318226401097731,-1.2915832244899412
2013-10-01,2.9636891032186923,4.595119850134589,4.595119850134589,4.0513096011626235
2013-11-01,1.4973913495874385,3.5031641325612455,3.783822174843621,2.9281258856641017
2013-12-01,3.1291775303018667,4.595119850134589,4.595119850134589,4.1064724101903485
2014-01-01,-1.5150600284336075,-4.59511985013459,-3.86713339499989,-3.3257710911893628
2014-02-01,2.0683987285218493,3.8998491048402943,4.595119850134589,3.5211225611655776
2014-03-01,0.5943913810155135,0.7709781332222825,1.9240861756724765,1.0964852299700907
2014-04-01,1.7464864642297748,4.595119850134589,4.595119850134589,3.6455753881663178
2014-05-01,1.9892712556523957,4.595119850134589,4.595119850134589,3.7265036519738577
2014-06-01,1.4286143452768765,2.9909081848564636,3.3375864315196417,2.5857029872176605
2014-07-01,-0.8005015681346399,-2.180325372763604,-2.6701209648280764,-1.8836493019087734
2014-08-01,2.5247953562107655,4.595119850134589,4.595119850134589,3.905011685493314
2014-09-01,-1.0258068786511194,-2.1502087807606616,-2.1290652962139767,-1.7683603185419192
2014-10-01,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589
2014-11-01,1.3512249636168296,2.681189294812611,4.133630003769057,2.7220147540661657
2014-12-01,2.0167262988547163,4.595119850134589,4.595119850134589,3.7356553330412985
2015-01-01,0.3635450367600366,-0.48775073735643065,3.331616907403803,1.069137068935803
2015-02-01,2.4168043426130548,4.455560192061896,4.595119850134589,3.8224947949365133
2015-03-01,0.43450789827826514,1.3067558690363392,1.8581399691865153,1.199801245500373
2015-04-01,0.25324854250277706,0.10449416056311785,-0.18133468217796817,0.05880267362930891
2015-05-01,0.56949053664909,1.0452978947358675,-0.6557968105038862,0.31966387362702375
2015-06-01,-0.6599990786929567,-1.7942608985239445,-2.9485184611643884,-1.8009261461270967
2015-07-01,0.5321026816527713,0.6497603299082919,-0.41771980108099155,0.2547144034933572
2015-08-01,-4.045410331534358,-4.59511985013459,-4.59511985013459,-4.411883343934512
2015-09-01,-2.877650304303212,-4.59511985013459,-4.59511985013459,-4.0226300015241305
2015-10-01,2.445993382312736,4.433332339025156,4.595119850134589,3.824815190490827
2015-11-01,0.8886170325364289,2.5882151741504074,3.188242995712186,2.221691734133007
