Date,Open,High,Low,Close,vix,daily_return,overnight_ret,intraday_ret,yearmonth,day_rank,day_rank_rev,high_252,dist_52w
1990-08-01,356.15,357.35,353.82,355.52,21.64,-0.17689175909026966,0.0,-0.17689175909026966,1990-08,1,23,368.95,-3.6400596286759743
1990-08-02,355.52,355.52,349.73,351.48,20.43,-1.1363636363636243,0.0,-1.1363636363636243,1990-08,2,22,368.95,-4.735058951077374
1990-08-03,351.48,351.48,338.2,344.86,28.74,-1.8834642084898157,0.0,-1.8834642084898157,1990-08,3,21,368.95,-6.529340018972754
1990-08-06,344.86,344.86,333.27,334.43,35.91,-3.024415704923744,0.0,-3.024415704923744,1990-08,4,20,368.95,-9.35628133893481
1990-08-07,334.43,338.63,332.22,334.83,32.75,0.11960649463265138,0.0,0.11960649463265138,1990-08,5,19,368.95,-9.247865564439628
1990-08-08,334.83,339.21,334.83,338.35,28.27,1.0512797539049767,0.0,1.0512797539049767,1990-08,6,18,368.95,-8.293806748881954
1990-08-09,338.35,340.56,337.56,339.94,24.39,0.4699275897738886,0.0,0.4699275897738886,1990-08,7,17,368.95,-7.8628540452635844
1990-08-10,339.9,339.9,334.22,335.52,25.75,-1.3002294522562852,-0.011766782373368034,-1.288614298323032,1990-08,8,16,368.95,-9.060848353435427
1990-08-13,335.39,338.88,332.02,338.84,25.74,0.98950882212685,-0.03874582737243282,1.028653209696162,1990-08,9,15,368.95,-8.16099742512536
1990-08-14,338.84,340.96,337.19,339.39,24.18,0.16231849840633306,0.0,0.16231849840633306,1990-08,10,14,368.95,-8.011925735194472
1990-08-15,339.39,341.92,339.38,340.06,23.31,0.1974130056866752,0.0,0.1974130056866752,1990-08,11,13,368.95,-7.830329312915025
1990-08-16,340.06,340.06,332.39,332.39,27.16,-2.255484326295365,0.0,-2.255484326295365,1990-08,12,12,368.95,-9.909201788860281
1990-08-17,332.36,332.36,324.63,327.83,27.53,-1.3718824272691776,-0.009025542284657462,-1.3629799013118449,1990-08,13,11,368.95,-11.145141618105436
1990-08-20,327.83,329.9,327.07,328.51,26.46,0.20742457981270945,0.0,0.20742457981270945,1990-08,14,10,368.95,-10.960834801463612
1990-08-21,328.51,328.51,318.78,321.86,28.9,-2.0242914979757054,0.0,-2.0242914979757054,1990-08,15,9,368.95,-12.763247052446125
1990-08-22,321.86,324.15,316.55,316.55,30.55,-1.649785621077493,0.0,-1.649785621077493,1990-08,16,8,368.95,-14.20246645886976
1990-08-23,316.55,316.55,306.56,307.06,36.47,-2.997946611909652,0.0,-2.997946611909652,1990-08,17,7,368.95,-16.77463070876812
