,LogReg_v92,ElasticNet_v92,MLP_v92,EWLogit_v92,som_ret,remaining_ret,monthly_return,Ensemble_v92
2002-09-01,-4.59511985013459,-4.59511985013459,-2.001640278025798,-3.959178840072523,0.4715,-5.9561,-7.1456,-3.787764704591875
2002-10-01,2.679143573213981,4.595119850134589,-0.48851440012423886,0.6730784091731794,-0.4147,6.1643,4.4639,1.8647068580993775
2002-11-01,1.8666133757706764,4.595119850134589,1.28290171899727,1.4504909255731984,-0.5519,4.0879,3.9236,2.2987814676189333
2002-12-01,0.4435966523089954,4.595119850134589,-0.01910816156429899,0.42400719733377995,-3.4935,-0.8509,-5.8543,1.3609038845532664
2003-01-01,-1.2839551457262925,-4.59511985013459,0.202846129172447,-1.7332924216528869,1.0422,-7.2179,-5.8667,-1.8523803220853305
2003-02-01,0.046550327891842526,4.595119850134589,0.06319885080527612,-0.3919778883707929,-3.1235,0.0431,-2.2282,1.0782227851152286
2003-03-01,0.21344946281266455,4.595119850134589,0.13641324201337351,0.4507642146590798,0.5882,2.7444,1.6016,1.3489366924049269
2003-04-01,1.8243436424628896,4.595119850134589,-0.0580038278458157,1.3690968296428743,2.4096,4.677,6.8074,1.9326391235986344
2003-05-01,0.7622662978659456,3.5462769147479287,0.4039236713051193,0.3854413686916126,2.972,2.0577,5.161,1.2744770631526516
2003-06-01,-0.14777372069127878,-4.59511985013459,0.06214138042082673,0.42337613648113703,3.5574,-1.9675,0.7756,-1.0643440134809763
2003-07-01,0.6439758162369458,2.331759835470089,0.3396219893535527,0.33751393807780466,1.3568,-1.0501,0.8134,0.913217894784598
2003-08-01,0.3610830554650618,1.9693470369178658,-0.18169213880493387,-0.7405348005856155,1.1131,2.3931,2.8424,0.35205078824809466
2003-09-01,-1.2665886982568417,-4.59511985013459,0.15534355845738,-1.3631881061337592,-0.0939,-1.0556,-2.546,-1.7673882740169526
2003-10-01,1.4210314738571441,3.53858160892711,0.2831177429228839,0.011834344012344691,2.7228,0.6249,3.1909,1.3136412924298706
2003-11-01,1.3641105482003661,4.595119850134589,0.18137855232517097,0.47138619328405823,-0.9448,1.3664,-0.0774,1.652998785986046
2003-12-01,2.7991543008036244,4.595119850134589,4.595119850134589,1.553161938047515,-0.0566,4.072,3.9061,3.3856389847800794
2004-01-01,0.45951708039144623,-0.29367115174569136,4.058365227145462,-0.07122086860719652,2.1649,0.1461,2.0433,1.0382475717960051
2004-02-01,1.1207127110809323,4.595119850134589,2.2730521443433624,1.176872861378501,1.5537,-0.3615,0.8527,2.291439391734346
2004-03-01,0.7096913019225735,4.595119850134589,0.6193991088935371,0.3531151525181484,-3.6925,1.6628,-2.5745,1.569331353367212
2004-04-01,-0.4465475966109825,-4.59511985013459,-2.4588968865334153,-0.18700065652986173,-0.0701,-1.4866,-2.1967,-1.9218912474522123
2004-05-01,1.6075591901957385,4.595119850134589,2.4066045607480318,1.0748096604579003,-2.1913,2.6565,0.2855,2.421023315384065
2004-06-01,0.842025490284944,4.380745059451772,1.1162132963128037,0.38482127630398144,0.9522,0.0852,1.7517,1.680951280588375
2004-07-01,-0.22114964123346903,1.57797163763102,-1.0932896003952428,-0.002732193528103036,-1.933,-0.4519,-2.4111,0.06520005061855128
2004-08-01,1.0196772642230971,4.595119850134589,1.381418829633308,0.6911270082063101,-3.0404,3.1621,-0.2151,1.921835738049326
2004-09-01,-0.9147246782059254,-3.562225991121213,-1.6088624922798198,-0.8257804263266724,1.7546,-0.1157,0.784,-1.7278983969834076
2004-10-01,1.4831464248195805,4.595119850134589,2.338681265301849,0.721872554836682,-1.7057,1.5714,-0.1149,2.284705023773175
2004-11-01,0.1718309694783496,-0.7674241102224914,0.2537525741714343,0.09637695909963363,4.0203,0.6431,3.831,-0.061365901868268444
2004-12-01,1.8318514531932026,4.595119850134589,4.595119850134589,1.2902752007617033,0.7074,0.3419,1.7249,3.078091588556021
2005-01-01,0.6262069882245098,2.1248586712545134,0.9691104080128178,0.5948875322228435,-1.333,-0.1896,-1.7312,1.0787658999286711
2005-02-01,0.30374202607251444,2.287252185785283,-0.8204316063618009,0.437763029017953,1.3765,0.2557,1.193,0.5520814086284874
2005-03-01,0.05600375163544836,0.6175522374441231,-1.0458967334433218,0.3790306448016592,-0.8273,-1.8857,-2.4636,0.0016724751094772256
2005-04-01,-0.6630236720990947,-2.9963505661897596,-2.0808427114619263,-0.3586254233618934,-0.8935,-0.5669,-1.3701,-1.5247105932781684
2005-05-01,0.6332877415819335,4.595119850134589,-0.36179957016726877,0.344995053997942,0.2273,2.9529,2.5246,1.302900768886799
2005-06-01,0.4797780616344978,2.026348992310704,0.11992597506874575,0.3489515408350257,0.1544,-0.5335,-0.9058,0.7437511424622433
2005-07-01,1.1195928626056924,4.595119850134589,3.9438396527072763,0.49710033357903427,2.6119,1.1182,3.3271,2.5389131747566482
