,LogReg,ElasticNet,MLP,som_ret,remaining_ret,monthly_return,vix_regime,vix_spike,Ensemble
2005-06-01,0.22197047752287288,-0.05101452386395348,0.0,0.1544,-0.5335,-0.9058,0,0,0.05698531788630647
2005-07-01,1.1743366416811476,2.9794695505033033,0.0,2.6119,1.1182,3.3271,0,0,1.3846020640614836
2005-08-01,-0.256704775444384,-0.8862171487153818,0.0,-0.4243,-1.0585,-1.2158,0,0,-0.38097397471992195
2005-09-01,-0.16822613528061808,-0.06497002689799085,0.0,0.7706,-0.5353,0.591,0,0,-0.07773205405953632
2005-10-01,0.7735310811619617,3.858168536650877,0.0,-3.6548,2.0196,-1.6051,0,0,1.5438998726042794
2005-11-01,0.8964536714914078,2.5373928639074865,0.0,2.4254,2.2116,3.8844,0,0,1.1446155117996313
2005-12-01,1.348093074272212,2.0707138242471523,0.0,0.2453,-0.515,-1.2952,0,0,1.1396022995064548
2006-01-01,0.9170482200021158,1.640721786850323,0.0,1.1912,-0.3327,0.889,0,0,0.8525900022841463
2006-02-01,0.48683537433853985,1.1425945125382115,0.0,-0.5854,1.0854,-0.1404,0,0,0.5431432956255838
2006-03-01,0.6178130988145409,0.5983923874189866,0.0,0.2351,0.4202,0.2811,0,0,0.4054018287445092
2006-04-01,1.7030963854611127,0.9068638959752038,0.0,-0.1429,1.0592,0.9863,0,0,0.8699867604787722
2006-05-01,-1.0763409939067528,-3.7666616543252562,0.0,-0.2967,-1.9477,-2.6893,0,0,-1.6143342160773362
2006-06-01,1.18329095172003,4.595119850134589,0.0,-3.5728,2.7238,-1.2063,1,0,1.9261369339515397
2006-07-01,0.9823757416240634,4.526877793955745,0.0,-2.9888,2.7342,-0.2757,1,0,1.8364178451932698
2006-08-01,0.964548558434035,2.1780241831228095,0.0,0.522,2.4115,2.5887,0,0,1.047524247185615
2006-09-01,0.8219620793281275,2.8292469396680864,0.0,0.5763,1.2494,1.8947,0,0,1.217069672998738
2006-10-01,0.7270697636055795,0.854682956986279,0.0,2.3272,0.7673,3.5018,0,0,0.5272509068639528
2006-11-01,0.6943223723757492,1.5110448144001618,0.0,1.6935,0.7557,2.3995,0,0,0.7351223955919703
2006-12-01,1.2608304456814212,0.4638531425982661,0.0,1.6651,-0.0333,1.5458,0,0,0.5748945294265625
2007-01-01,0.6350468060924442,1.9685030733953166,0.0,0.9476,0.7219,1.5276,0,0,0.8678499598292536
2007-02-01,-0.6821845588762614,-4.003930118647114,0.0,0.2155,-3.4509,-2.7055,0,0,-1.562038225841125
2007-03-01,1.7047521203521154,4.595119850134589,0.0,-0.925,2.6067,1.2607,1,0,2.099957323495568
2007-04-01,1.3663599589035282,3.274664175900449,0.0,2.6705,1.851,4.0588,0,0,1.5470080449346593
2007-05-01,1.2896747932981705,3.6819086625430892,0.0,1.1344,2.0578,2.9819,0,0,1.65719448528042
2007-06-01,-0.085739504994189,-0.9715157183656431,0.0,-1.1208,-0.3805,-2.1473,0,0,-0.35241840778661065
2007-07-01,-2.0586280821936733,-4.59511985013459,0.0,1.9495,-5.31,-4.2226,1,0,-2.2179159774427544
2007-08-01,2.732181884706504,4.595119850134589,0.0,-2.4284,3.015,0.5581,2,1,2.4424339116136977
2007-09-01,-0.10616023182622134,-0.656407090670617,0.0,0.6252,2.6167,2.5063,2,0,-0.25418910749894613
2007-10-01,1.5146186251923843,2.406292254635585,0.0,0.3971,-1.8389,0.1513,1,0,1.30697029327599
2007-11-01,-0.45217975818184974,-1.716010507435334,0.0,-3.202,0.7792,-1.8098,2,1,-0.7227300885390613
2007-12-01,-0.6824504124086148,-4.59511985013459,0.0,-0.2482,-0.5769,-0.2757,2,0,-1.7591900875144015
2008-01-01,0.16784499543624098,2.5049471569957302,0.0,-4.5763,-0.2378,-4.741,2,0,0.8909307174773238
2008-02-01,0.23169455114599577,-0.5793652453776311,0.0,-3.0586,-1.0083,-4.643,2,0,-0.11589023141054511
2008-03-01,1.0348968623012371,0.3222602309242702,0.0,-2.0576,3.0647,-0.649,2,0,0.45238569774183574
2008-04-01,1.9228898353258714,4.595119850134589,0.0,-1.8984,4.1494,1.1247,2,0,2.172669895153487
2008-05-01,-0.1863163323567541,0.22901537042125886,0.0,0.2483,-1.5819,-0.6358,1,0,0.014233012688168253
2008-06-01,-3.2388635632982794,-4.59511985013459,0.0,-2.6253,-5.4169,-7.6259,2,0,-2.611327804477623
2008-07-01,0.8741012482027707,3.639039395787543,0.0,-3.6761,2.2271,-1.3643,2,0,1.5043802146634377
2008-08-01,-0.1115797208512234,-0.3554209237526949,0.0,2.2788,-0.3889,1.7869,2,0,-0.15566688153463945
2008-09-01,-1.7456873505516646,-4.046834664185414,0.0,-5.0793,-6.2389,-8.7055,3,1,-1.930840671579026
2008-10-01,-2.4305472658134244,-0.7029613025668797,0.0,-18.0947,2.3926,-16.5633,3,1,-1.044502856126768
2008-11-01,-1.282381649313322,1.5915610678372358,0.0,-10.0331,-0.8184,-7.2503,3,0,0.10305980617463795
2008-12-01,-3.4775734197090036,-4.59511985013459,0.0,8.6561,2.9794,10.6639,3,0,-2.690897756614531
2009-01-01,-3.0723468224175035,-1.7366477455877949,0.0,-9.5624,-1.0627,-11.3672,3,0,-1.6029981893350993
2009-02-01,-4.59511985013459,-4.59511985013459,0.0,-1.3045,-11.4653,-10.9457,3,0,-3.0634132334230597
2009-03-01,1.6680856559397759,4.55238741231899,0.0,7.3217,7.3901,13.8481,3,0,2.073491022752922
2009-04-01,1.6195571195943055,4.595119850134589,0.0,5.7156,2.9582,7.6108,3,0,2.0715589899096316
2009-05-01,1.1769085484685584,4.073611004041796,0.0,2.0588,3.6634,4.7429,3,0,1.7501731841701182
2009-06-01,-0.25152618847926617,1.3531804395591447,0.0,-1.0269,-1.7802,-2.4977,2,0,0.36721808369329284
2009-07-01,3.0005962412482443,4.595119850134589,0.0,0.0875,7.7358,6.9477,2,0,2.531905363794278
2009-08-01,1.2374769932253915,4.430658517285276,0.0,-0.4213,1.2198,1.7943,2,0,1.889378503503556
2009-09-01,-1.133125057935984,-0.5659113605622742,0.0,5.7863,-1.1937,5.9156,2,0,-0.5663454728327527
2009-10-01,-2.6161855641461136,-4.59511985013459,0.0,5.3676,-3.454,0.6156,2,0,-2.403768471426901
2009-11-01,1.2263671370255738,2.15077278020252,0.0,5.4551,0.1396,5.0581,2,0,1.1257133057426978
2009-12-01,0.7033599337346403,2.067821245635457,0.0,-0.0779,1.7835,0.5627,2,0,0.9237270597900326
2010-01-01,-2.473979068051395,-4.59511985013459,0.0,0.9442,-4.893,-5.2181,2,0,-2.356366306061995
2010-02-01,1.6650289816484287,4.374701086111622,0.0,-0.541,2.4983,1.4047,2,0,2.0132433559200167
2010-03-01,1.089352999428544,2.1293837145265933,0.0,3.1775,2.2497,4.8149,1,0,1.0729122379850458
2010-04-01,0.660221920519073,0.6418325673060927,0.0,2.0163,-0.7922,0.7291,1,0,0.43401816260838855
2010-05-01,-0.9452954127697009,-2.2132384819965267,0.0,-4.8038,-4.7283,-9.3865,3,1,-1.0528446315887425
2010-06-01,-4.202526812439464,-4.59511985013459,0.0,2.6965,-6.2848,-3.7358,2,0,-2.932548887524684
2010-07-01,2.3512324760068175,4.336566165839439,0.0,5.5729,2.5574,7.2252,2,0,2.2292662139487525
2010-08-01,-1.9666230048083364,-4.59511985013459,0.0,-3.6425,-1.6306,-6.7975,2,0,-2.187247618314309
2010-09-01,1.8030586348743967,2.5800726529189575,0.0,4.015,1.6585,5.6383,2,0,1.4610437625977848
2010-10-01,1.2430228752136523,2.137036327670055,0.0,2.6413,0.8271,3.2297,2,0,1.1266864009612358
2010-11-01,-0.4279208112286559,-0.8216889669127377,0.0,1.4463,-0.2108,-0.3234,2,0,-0.41653659271379784
2010-12-01,3.102866788148044,4.595119850134589,0.0,2.8224,1.9585,4.2759,1,0,2.5659955460942108
2011-01-01,0.7777991119998252,1.6025963189168235,0.0,1.2666,0.4301,1.1204,1,0,0.7934651436388829
2011-02-01,0.8993025398555482,2.741119986921096,0.0,1.6782,-1.058,1.5012,1,0,1.2134741755922147
2011-03-01,-0.1425252834815405,3.140904039082565,0.0,-1.4869,3.3364,1.4927,2,0,0.9994595852003415
2011-04-01,1.5139697047939689,4.595119850134589,0.0,-1.4131,3.5704,2.3416,1,0,2.0363631849761856
2011-05-01,-0.32116861090257565,0.4628735357769019,0.0,-1.7506,-0.8556,-1.1769,1,0,0.047234974958108744
2011-06-01,0.5549017356727158,2.5208486832182753,0.0,-3.1799,4.2154,0.4633,1,0,1.0252501396303304
